"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,961.24,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,755.58,"ARG","Other","2429 Branch"
"a 2394 Branch",3,0,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,0,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,0,"ARG","Aminoglycoside","aadA9"
"aadD",6,0,"ARG","Aminoglycoside","aadD"
"acrD",7,560.1,"ARG","MDR","acrD"
"acrE",8,1163.69,"ARG","MDR","acrE"
"acrF",9,1741.9,"ARG","MDR","acrF"
"acrS",10,0,"ARG","MDR","acrS"
"ant6 Ib",11,1563.51,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,0,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,0,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,0,"ARG","Polymyxin","arnA"
"bacA",15,1354.09,"ARG","Bacitracin","bacA"
"baeR",16,774.4,"ARG","MDR","baeR"
"baeS",17,4166.46,"ARG","MDR","baeS"
"bcrA",18,0,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,4253.76,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,2382.14,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,57081.36,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,0,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,0,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,0,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,3390.73,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,0,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,0,"ARG","MDR","bmr"
"catB4",28,0,"ARG","Phenicol","catB4"
"cfxA 2366",29,28344.99,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,153659.96,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,0,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,0,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,46399.16,"ARG","Beta-lactam","cfxA6"
"clbC",34,0,"ARG","Macrolide","clbC"
"cpxA",35,509.09,"ARG","MDR","cpxA"
"cpxR",36,723.22,"ARG","MDR","cpxR"
"crp",37,4466.58,"ARG","MDR","crp"
"emrA",38,680.64,"ARG","MDR","emrA"
"emrB",39,1828.98,"ARG","MDR","emrB"
"emrE",40,0,"ARG","MDR","emrE"
"emrK",41,0,"ARG","Tetracycline","emrK"
"emrR",42,0,"ARG","MDR","emrR"
"emrY",43,2904.56,"ARG","MDR","emrY"
"ermC",44,0,"ARG","Macrolide","ermC"
"ermG",45,3907.27,"ARG","Macrolide","ermG"
"ermQ",46,0,"ARG","Macrolide","ermQ"
"evgA",47,2207.63,"ARG","MDR","evgA"
"evgS",48,669.53,"ARG","MDR","evgS"
"gadX",49,1076.99,"ARG","MDR","gadX"
"H NS",50,0,"ARG","MDR","H NS"
"l 2009 Branch",51,0,"ARG","Macrolide","l 2009 Branch"
"lnuC",52,175677.98,"ARG","Macrolide","lnuC"
"m 2021 Branch",53,0,"ARG","Macrolide","m 2021 Branch"
"marA",54,0,"ARG","MDR","marA"
"mdfA",55,0,"ARG","MDR","mdfA"
"mdtA",56,0,"ARG","MDR","mdtA"
"mdtB",57,967.72,"ARG","MDR","mdtB"
"mdtC",58,0,"ARG","MDR","mdtC"
"mdtD",59,2271.15,"ARG","MDR","mdtD"
"mdtE",60,1068.21,"ARG","MDR","mdtE"
"mdtF",61,702.25,"ARG","MDR","mdtF"
"mdtG",62,0,"ARG","MDR","mdtG"
"mdtH",63,2094.15,"ARG","MDR","mdtH"
"mdtK",64,874.18,"ARG","MDR","mdtK"
"mdtL",65,572.65,"ARG","MDR","mdtL"
"mdtM",66,0,"ARG","MDR","mdtM"
