Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
1,2024 Branch,,616.81,ARG,Aminoglycoside,2024 Branch,8,7.275663,8,0.212794,0.259816,0,0.000011,0.000011,112,0.005556,0,1,28,0.007028
2,a 2394 Branch,,0,ARG,Aminoglycoside,a 2394 Branch,0,0,0,0,0,0,0,0,0,0.000807,1,0,0,0
3,ant6 Ib,,0,ARG,Aminoglycoside,ant6 Ib,7,4.696871,6,0.301294,0.343047,1417.946225,0.000017,0.000017,49,0.005174,0,0.380952,8,0.005477
4,bacA,,0,ARG,Bacitracin,bacA,26,17.167091,6,0.367946,0.468916,2613.93664,0.046214,0.046214,21,0.00642,0,0.701538,228,0.288456
5,cfxA 2366,,30289.61,ARG,Beta-lactam,cfxA 2366,5,3.214184,7,0.278632,0.330952,91.26017,0.004591,0.004591,131,0.002905,0,0.5,5,0.029456
6,cfxA 2367,,133801.87,ARG,Beta-lactam,cfxA 2367,3,2.118356,9,0.215324,0.253613,0,0.000275,0.000275,112,0.002685,0,1,3,0.003101
7,cfxA2,,0,ARG,Beta-lactam,cfxA2,0,0,0,0,0,0,0,0,1,0.000807,2,0,0,0
8,cfxA3,,0,ARG,Beta-lactam,cfxA3,0,0,0,0,0,0,0,0,2,0.000807,3,0,0,0
9,cfxA6,,50403.13,ARG,Beta-lactam,cfxA6,1,0.580618,2,0.666667,0.75,0,0,0,114,0.004145,4,0,0,0.000371
10,pbp2,,0,ARG,Beta-lactam,pbp2,38,31.807587,8,0.323413,0.467806,30.073522,0.165182,0.165182,17,0.006921,0,0.830725,584,0.829941
11,pbp4,,720.16,ARG,Beta-lactam,pbp4,52,38.145464,8,0.347548,0.52343,528.902341,0.18636,0.18636,17,0.009918,0,0.571644,758,0.96724
12,bla 1029 Branch,,0,ARG,Beta-lactam,bla 1029 Branch,8,5.866224,7,0.270764,0.323883,1.570869,0.000068,0.000068,131,0.004002,0,0.857143,24,0.011833
13,bla 1030 Branch,,0,ARG,Beta-lactam,bla 1030 Branch,16,13.403582,7,0.244378,0.326731,42.527949,0.000021,0.000021,131,0.006102,0,0.883333,106,0.036738
14,blaACI 1,,58737.97,ARG,Beta-lactam,blaACI 1,2,1.096912,9,0.24184,0.291693,19.233258,0.003602,0.003602,112,0.001743,0,0,0,0.018111
15,blaAmpC,,0,ARG,Beta-lactam,blaAmpC,0,0,0,0,0,0,0,0,3,0.000807,5,0,0,0
16,blaAmpH,,0,ARG,Beta-lactam,blaAmpH,0,0,0,0,0,0,0,0,4,0.000807,6,0,0,0
17,blaCMY 111,,0,ARG,Beta-lactam,blaCMY 111,0,0,0,0,0,0,0,0,5,0.000807,7,0,0,0
18,blaCMY 27,,5522.98,ARG,Beta-lactam,blaCMY 27,8,7.164059,8,0.212794,0.259816,0,0.000011,0.000011,112,0.005556,0,1,28,0.007028
19,blaCMY 32,,0,ARG,Beta-lactam,blaCMY 32,0,0,0,0,0,0,0,0,6,0.000807,8,0,0,0
20,baeR,,0,ARG,MDR,baeR,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
21,evgA,,1401.75,ARG,MDR,evgA,33,26.108435,7,0.355895,0.476497,316.964806,0.094382,0.094382,21,0.007083,0,0.649621,343,0.523855
22,H NS,,0,ARG,MDR,H NS,0,0,0,0,0,0,0,0,7,0.000807,9,0,0,0
23,acrF,,0,ARG,MDR,acrF,27,20.037787,7,0.351293,0.461978,691.823927,0.057098,0.057098,21,0.006634,0,0.774929,272,0.341695
24,pmrA,,1084.7,ARG,Polymyxin,pmrA,10,6.769084,7,0.303538,0.378031,751.230946,0.004742,0.004742,112,0.006581,0,0.355556,16,0.029973
25,pmrB,,658.1,ARG,Polymyxin,pmrB,0,0,0,0,0,0,0,0,8,0.000807,10,0,0,0
26,pmrC,,0,ARG,Polymyxin,pmrC,6,4.375553,8,0.236575,0.280237,161.427019,0.000073,0.000073,49,0.00465,0,0.666667,10,0.004725
27,pmrE,,0,ARG,Polymyxin,pmrE,0,0,0,0,0,0,0,0,9,0.000807,11,0,0,0
28,pmrF,,535.55,ARG,Polymyxin,pmrF,34,27.920487,8,0.317739,0.451957,3.997376,0.156846,0.156846,17,0.006163,0,0.982175,551,0.77868
29,ermC,,0,ARG,Macrolide,ermC,0,0,0,0,0,0,0,0,10,0.000807,12,0,0,0
30,tolC,,1645.81,ARG,MDR,tolC,0,0,0,0,0,0,0,0,11,0.000807,13,0,0,0
31,acrD,,0,ARG,MDR,acrD,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
32,marA,,1427.46,ARG,MDR,marA,0,0,0,0,0,0,0,0,12,0.000807,14,0,0,0
33,mdtA,,0,ARG,MDR,mdtA,0,0,0,0,0,0,0,0,13,0.000807,15,0,0,0
34,mdtB,,0,ARG,MDR,mdtB,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
35,mdtC,,0,ARG,MDR,mdtC,0,0,0,0,0,0,0,0,14,0.000807,16,0,0,0
36,mdtD,,0,ARG,MDR,mdtD,25,18.423568,7,0.343882,0.447663,155.851533,0.056875,0.056875,21,0.00583,0,0.876667,263,0.338256
37,mdtE,,0,ARG,MDR,mdtE,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
38,mdtG,,0,ARG,MDR,mdtG,0,0,0,0,0,0,0,0,15,0.000807,17,0,0,0
39,mdtN,,0,ARG,MDR,mdtN,0,0,0,0,0,0,0,0,16,0.000807,18,0,0,0
40,mdtO,,494.48,ARG,MDR,mdtO,38,32.173991,8,0.323413,0.467806,30.073522,0.165182,0.165182,17,0.006921,0,0.830725,584,0.829941
41,mdtP,,796.6,ARG,MDR,mdtP,6,3.57416,8,0.296364,0.351753,275.811362,0.005968,0.005968,21,0.002962,0,0.333333,5,0.039074
42,mdtH,,426.29,ARG,MDR,mdtH,5,3.153063,7,0.306968,0.363512,165.514006,0.007831,0.007831,21,0.002627,0,0.3,3,0.045933
43,mdtL,,0,ARG,MDR,mdtL,7,5.943011,7,0.251932,0.292653,37.590312,0.000075,0.000075,49,0.005065,0,0.857143,18,0.005614
44,mdtM,,0,ARG,MDR,mdtM,0,0,0,0,0,0,0,0,18,0.000807,19,0,0,0
45,gadX,,0,ARG,MDR,gadX,34,30.212918,8,0.317739,0.451957,3.997376,0.156846,0.156846,17,0.006163,0,0.982175,551,0.77868
46,mdfA,,0,ARG,MDR,mdfA,0,0,0,0,0,0,0,0,19,0.000807,20,0,0,0
47,emrE,,0,ARG,MDR,emrE,0,0,0,0,0,0,0,0,20,0.000807,21,0,0,0
48,emrY,,0,ARG,MDR,emrY,26,20.162017,7,0.35512,0.455843,158.848686,0.056838,0.056838,21,0.006223,0,0.815385,265,0.338754
49,mdtK,,0,ARG,MDR,mdtK,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
50,acrE,,483.95,ARG,MDR,acrE,4,2.585059,8,0.188657,0.216616,0,0,0,104,0.004666,0,1,6,0.002059
51,emrA,,0,ARG,MDR,emrA,25,21.052022,7,0.339583,0.444084,29.200073,0.05691,0.05691,21,0.005651,0,0.896667,269,0.339201
52,emrK,,0,ARG,Tetracycline,emrK,0,0,0,0,0,0,0,0,22,0.000807,22,0,0,0
