Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
175,Acidithiobacillus,,13.96,Taxa,Acidithiobacillaceae,Acidithiobacillus,1,0.570857,9,0.15736,0.170297,0,0,0,3,0.002475,0,0,0,0.000338
176,Actinobacteria_u_g,,7.37,Taxa,Actinobacteria_u_f,Actinobacteria_u_g,3,1.690258,8,0.186522,0.209094,154,0,0,3,0.005786,0,0.333333,1,0.001017
179,Alphaproteobacteria_u_g,,70.8,Taxa,Alphaproteobacteria_u_f,Alphaproteobacteria_u_g,44,33.460184,6,0.466867,0.583441,575.951862,0.147048,0.147048,8,0.008453,0,0.844609,799,0.930879
259,Aminobacter,,8.02,Taxa,Phyllobacteriaceae,Aminobacter,45,39.337093,6,0.454545,0.576452,34.207426,0.156433,0.156433,8,0.008128,0,0.915152,906,0.988995
180,Anaeromyxobacter,,5.41,Taxa,Anaeromyxobacteraceae,Anaeromyxobacter,27,15.029967,7,0.367299,0.466728,87.619072,0.096292,0.096292,8,0.005231,0,0.928775,326,0.607992
273,Anaerotruncus,,2.49,Taxa,Ruminococcaceae,Anaerotruncus,45,39.337093,6,0.454545,0.576452,34.207426,0.156433,0.156433,8,0.008128,0,0.915152,906,0.988995
3,ant6 Ib,,2506.62,ARG,Aminoglycoside,ant6 Ib,49,35.159134,6,0.440341,0.574301,778.09992,0.145364,0.145364,8,0.01024,0,0.678571,798,0.92386
181,Atopobium,,31.64,Taxa,Atopobiaceae,Atopobium,47,37.728939,6,0.472561,0.594194,623.513871,0.156988,0.156988,8,0.008812,0,0.842738,911,0.993495
183,Bacillus,,1544.84,Taxa,Bacillaceae,Bacillus,45,39.116107,6,0.454545,0.576452,34.207426,0.156433,0.156433,8,0.008128,0,0.915152,906,0.988995
186,Bacteroidales_u_g,,21869.71,Taxa,Bacteroidales_u_f,Bacteroidales_u_g,42,29.819957,6,0.434174,0.553871,135.564721,0.145754,0.145754,8,0.007842,0,0.912892,786,0.921059
20,baeR,,2725.46,ARG,MDR,baeR,14,11.0762,7,0.360465,0.429309,120.905964,0.006449,0.006449,5,0.005446,0,0.78022,71,0.053752
58,baeS,,848.77,ARG,MDR,baeS,14,11.47721,7,0.354691,0.42447,57.763915,0.003914,0.003914,5,0.005643,0,0.846154,77,0.038423
